cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2
3.957,3.982,3.982,-1,0,11.921,0,0,0.0,0.0
3.957,3.982,3.982,-1,0,11.921,0,0,0.0,0.0
3.957,3.982,3.983,-1,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,-1,0,11.922,0,0,0.0,0.0
3.957,3.982,3.983,-1,0,11.922,0,0,0.0,0.0
3.957,3.982,3.984,-1,0,11.923,0,0,0.0,0.0
3.957,3.982,3.984,-1,0,11.923,0,0,49.8,0.0
3.956,3.977,3.984,-1,0,11.917,0,0,49.8,0.0
3.956,3.977,3.984,2,-2,11.917,0,0,49.8,0.0
3.956,3.973,3.984,24,-5,11.913,0,0,49.8,0.0
3.957,3.972,3.983,9,-1,11.912,0,664,49.8,0.0
3.956,3.97,3.983,25,-3,11.909,0,1102,49.8,0.0
3.956,3.97,3.983,50,0,11.909,0,1102,49.8,0.0
3.948,3.964,3.972,54,2,11.884,0,2980,49.8,0.0
3.938,3.962,3.961,123,21,11.861,0,2980,49.8,0.0
3.938,3.962,3.961,208,77,11.861,0,4686,49.8,0.0
3.937,3.955,3.965,215,146,11.857,0,4686,49.8,0.0
3.936,3.954,3.966,145,174,11.856,332,4649,49.8,0.0
3.936,3.951,3.967,139,180,11.854,332,4649,49.8,0.0
3.936,3.951,3.967,138,181,11.854,334,5021,49.8,0.0
3.935,3.95,3.968,137,179,11.853,334,5021,49.8,0.0
3.935,3.949,3.969,137,179,11.853,332,4981,49.8,0.0
3.935,3.947,3.969,137,179,11.851,0,5165,49.8,0.0
3.935,3.947,3.969,136,178,11.851,0,5165,49.8,0.0
3.935,3.948,3.969,136,177,11.852,725,4717,49.8,0.0
3.935,3.946,3.966,136,177,11.847,725,4717,49.8,0.0
3.935,3.947,3.962,136,176,11.844,587,4995,49.8,0.0
3.935,3.947,3.962,136,174,11.844,587,4995,49.8,0.0
3.935,3.946,3.965,135,173,11.846,385,5010,49.8,0.0
3.935,3.946,3.964,135,172,11.845,385,5010,49.8,0.0
3.935,3.946,3.964,135,172,11.845,1004,5021,49.8,0.0
3.934,3.947,3.965,135,174,11.846,1004,5021,49.8,0.0
3.935,3.946,3.961,135,176,11.842,664,4981,49.8,0.0
3.934,3.947,3.956,136,176,11.837,1196,4784,49.8,0.0
3.934,3.947,3.956,136,176,11.837,1196,4784,49.8,0.0
3.933,3.948,3.954,137,176,11.835,1061,4954,49.8,0.0
3.933,3.947,3.952,137,174,11.832,1061,4954,49.8,0.0
3.932,3.948,3.955,136,172,11.835,899,5099,49.8,0.0
3.932,3.948,3.955,136,171,11.835,899,5099,49.8,0.0
3.933,3.948,3.953,136,170,11.834,1126,4879,49.8,0.0
3.933,3.947,3.951,136,167,11.831,1126,4879,49.8,0.0
3.933,3.947,3.951,136,166,11.831,1338,5021,49.8,0.0
3.932,3.948,3.949,135,168,11.829,1338,5021,0.0,0.0
3.942,3.956,3.963,30,162,11.861,1328,2324,0.0,0.0
3.947,3.962,3.971,-192,97,11.88,1328,2324,0.0,0.0
3.947,3.962,3.971,-115,37,11.88,1004,669,0.0,0.0
3.95,3.965,3.976,-33,23,11.891,1004,669,0.0,0.0
3.952,3.966,3.979,-11,20,11.897,996,332,0.0,0.0
3.953,3.968,3.981,-3,18,11.902,567,567,0.0,0.0
3.953,3.968,3.981,-2,18,11.902,567,567,0.0,0.0
3.954,3.968,3.982,-2,17,11.904,731,365,0.0,0.0
3.955,3.969,3.982,-2,16,11.906,731,365,0.0,0.0
3.955,3.969,3.983,-2,16,11.907,584,0,0.0,0.0
3.955,3.969,3.983,-2,15,11.907,584,0,0.0,0.0
3.956,3.968,3.983,-2,14,11.907,777,388,0.0,0.0
3.956,3.968,3.983,-2,14,11.907,777,388,0.0,0.0
3.956,3.968,3.983,-2,13,11.907,334,0,0.0,0.0
3.956,3.968,3.983,-1,13,11.907,334,0,0.0,0.0
3.956,3.968,3.983,-2,12,11.907,332,0,0.0,0.0
3.956,3.968,3.983,-2,12,11.907,590,0,0.0,0.0
3.956,3.968,3.983,-1,12,11.907,590,0,0.0,0.0
3.956,3.968,3.984,0,12,11.908,356,0,0.0,0.0
3.955,3.969,3.983,0,12,11.907,356,0,0.0,0.0
3.956,3.969,3.984,0,12,11.909,298,0,0.0,0.0
3.956,3.969,3.984,0,12,11.909,298,0,0.0,0.0
3.956,3.969,3.983,0,12,11.908,378,0,0.0,0.0
3.956,3.968,3.984,0,12,11.908,378,0,0.0,0.0
3.956,3.968,3.984,0,12,11.908,334,0,0.0,0.0
3.956,3.968,3.983,0,11,11.907,334,0,0.0,0.0
3.956,3.968,3.983,0,12,11.907,0,0,0.0,0.0
3.956,3.968,3.984,0,12,11.908,0,0,0.0,0.0
3.956,3.968,3.984,0,11,11.908,0,0,0.0,0.0
3.955,3.969,3.983,0,11,11.907,0,0,0.0,0.0
3.956,3.968,3.984,0,11,11.908,332,0,0.0,0.0
3.956,3.968,3.983,0,11,11.907,0,0,0.0,0.0
3.956,3.968,3.983,0,11,11.907,0,0,0.0,0.0
3.956,3.968,3.983,0,11,11.907,0,0,0.0,0.0
3.957,3.968,3.984,0,11,11.909,0,0,0.0,0.0
3.956,3.968,3.983,0,11,11.907,0,0,0.0,0.0
3.956,3.968,3.983,0,11,11.907,0,0,0.0,0.0
3.957,3.968,3.983,0,11,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-2,11,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-2,11,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-2,11,11.908,0,0,0.0,0.0
3.957,3.967,3.984,-2,11,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-2,11,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-2,11,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-2,11,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-2,11,11.908,0,0,0.0,0.0
3.957,3.967,3.984,-2,11,11.908,0,0,0.0,0.0
