throttle1,throttle2,t_sample_start_s,n_rows_in_window,avg_loadcell1,avg_loadcell2,avg_rpm1,avg_rpm2,avg_pack_v,avg_cell1_v,avg_cell2_v,avg_cell3_v
0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,12.56075,4.176,4.19275,4.192
9.8,9.8,2.135,16,-4.6875,13.8125,1065.375,813.5,12.569812500000001,4.178,4.1965625,4.19525
9.8,20.0,5.079,16,-38.75,47.25,2356.4375,854.75,12.5648125,4.17775,4.1865625,4.2005
9.8,29.8,8.239,16,-88.75,103.3125,3564.4375,961.8125,12.5383125,4.1615,4.1939375000000005,4.182875
9.8,40.0,11.347,16,-152.8125,190.4375,4641.5,1032.25,12.50775,4.1555625,4.1665624999999995,4.185625
20.0,9.8,14.36,17,17.0,41.11764705882353,1122.5294117647059,2142.5882352941176,12.553117647058825,4.171411764705883,4.19135294117647,4.190352941176471
20.0,20.0,17.336,15,-18.066666666666666,69.6,2344.2,2167.266666666667,12.540066666666664,4.164533333333334,4.1938,4.181733333333333
20.0,29.8,20.243,17,-69.0,129.52941176470588,3543.8823529411766,2205.470588235294,12.526529411764706,4.156235294117647,4.184764705882352,4.185529411764706
20.0,40.0,23.396,16,-133.0,211.4375,4616.0,2152.0625,12.4826875,4.141249999999999,4.1763125,4.165125
20.0,49.8,26.391,16,-206.375,305.4375,5566.8125,2221.75,12.426937500000001,4.118875,4.1563125,4.15175
29.8,9.8,29.306,16,47.125,89.8125,1178.75,3241.3125,12.5096875,4.156,4.175125,4.1785625
29.8,20.0,32.284,19,17.894736842105264,108.05263157894737,2379.5789473684213,3314.0,12.509684210526315,4.155947368421054,4.170578947368421,4.1831578947368415
29.8,29.8,35.343,16,-38.25,171.5625,3497.25,3308.0625,12.4833125,4.1450625,4.1740625,4.164187500000001
29.8,40.0,38.263,16,-105.0,254.0,4507.875,3297.125,12.45275,4.134,4.1563125,4.162437499999999
29.8,49.8,41.254,16,-177.3125,344.0625,5414.125,3239.5625,12.385625000000001,4.11175,4.139375,4.134499999999999
29.8,60.0,44.493,15,-258.4,451.6666666666667,6271.933333333333,3340.3333333333335,12.299933333333335,4.077066666666666,4.1106,4.112266666666668
40.0,9.8,47.287,17,92.11764705882354,151.1764705882353,1299.235294117647,4230.35294117647,12.439411764705882,4.13364705882353,4.146882352941176,4.158882352941176
40.0,20.0,50.428,17,64.52941176470588,171.11764705882354,2397.5882352941176,4190.0,12.449764705882354,4.13364705882353,4.1499411764705885,4.166176470588234
40.0,29.8,53.447,17,5.764705882352941,233.2941176470588,3490.176470588235,4203.294117647059,12.427411764705882,4.12370588235294,4.151352941176471,4.1523529411764715
40.0,40.0,56.412,15,-62.0,318.6666666666667,4497.066666666667,4245.866666666667,12.383199999999999,4.111666666666666,4.139666666666668,4.131866666666666
40.0,49.8,59.492,17,-135.58823529411765,413.29411764705884,5387.705882352941,4208.235294117647,12.320941176470589,4.089647058823529,4.119411764705882,4.111882352941176
40.0,60.0,62.39,17,-215.11764705882354,514.8235294117648,6213.058823529412,4230.0,12.24164705882353,4.059823529411765,4.088588235294117,4.0932352941176475
40.0,69.8,65.363,15,-312.73333333333335,626.9333333333333,7083.333333333333,4218.4,12.122933333333329,4.015000000000001,4.055866666666668,4.052066666666667
49.8,20.0,68.295,16,112.0,220.75,2562.6875,4991.0,12.3225625,4.08975,4.1190625,4.11375
49.8,29.8,71.353,14,54.92857142857143,288.5,3521.8571428571427,5002.214285714285,12.319571428571427,4.090000000000002,4.119642857142856,4.109928571428571
49.8,40.0,74.368,14,-16.0,372.42857142857144,4425.928571428572,5001.071428571428,12.290571428571425,4.072571428571429,4.113857142857142,4.104142857142857
49.8,49.8,77.283,14,-91.14285714285714,469.42857142857144,5353.857142857143,5077.142857142857,12.235785714285711,4.056,4.088,4.091785714285714
49.8,60.0,80.25,15,-167.6,574.2666666666667,6125.0,4987.066666666667,12.156666666666665,4.024466666666667,4.0722000000000005,4.06
49.8,69.8,83.382,19,-262.8421052631579,689.3157894736842,6993.9473684210525,4972.578947368421,12.04326315789474,3.9826315789473683,4.033157894736843,4.027473684210526
49.8,80.0,86.37,16,-340.375,801.0,7586.125,4966.1875,11.917187499999999,3.9405625,3.9971875000000003,3.9794375
60.0,29.8,89.497,15,114.8,261.46666666666664,3508.0666666666666,5804.666666666667,12.167533333333333,4.0338666666666665,4.064933333333334,4.068733333333332
60.0,40.0,92.295,17,37.11764705882353,452.47058823529414,4372.823529411765,5743.0,12.15429411764706,4.025058823529412,4.072,4.057235294117647
60.0,49.8,95.577,19,-38.36842105263158,568.6315789473684,5233.473684210527,5724.368421052632,12.11226315789474,4.0154736842105265,4.046842105263158,4.049947368421051
60.0,60.0,98.544,19,-117.47368421052632,671.7368421052631,6029.263157894737,5732.368421052632,12.043894736842105,3.9852631578947375,4.0307894736842105,4.027842105263159
60.0,69.8,101.337,17,-212.76470588235293,810.4705882352941,6850.705882352941,5676.529411764706,11.934764705882355,3.9547058823529415,3.9927058823529404,3.9873529411764705
60.0,80.0,104.579,17,-287.5882352941176,923.8823529411765,7506.823529411765,5640.882352941177,11.82129411764706,3.9130000000000003,3.960235294117647,3.9480588235294114
60.0,89.8,107.495,16,-362.1875,1021.625,7970.1875,5594.9375,11.6965625,3.8691250000000004,3.9224375,3.9050000000000002
69.8,40.0,110.496,16,111.4375,389.5,4340.3125,6423.1875,11.965125,3.9623125000000003,4.0064375,3.996375
69.8,49.8,113.459,16,29.375,533.0625,5120.4375,6428.25,11.942125,3.957,3.9993125,3.9858125
69.8,60.0,116.491,15,-49.86666666666667,698.2666666666667,5896.8,6421.333333333333,11.885466666666666,3.9352666666666676,3.986466666666667,3.9637333333333333
69.8,69.8,119.43,14,-147.0,813.2857142857143,6772.571428571428,6370.714285714285,11.797071428571426,3.908785714285714,3.9495,3.9387857142857143
69.8,80.0,122.458,17,-219.76470588235293,925.7058823529412,7374.470588235294,6324.058823529412,11.701529411764707,3.869176470588236,3.9232941176470586,3.9090588235294113
69.8,89.8,125.609,15,-295.6,1024.3333333333333,7887.533333333334,6331.8,11.589266666666667,3.833933333333334,3.888866666666667,3.8664666666666667
69.8,100.0,128.382,14,-339.7142857142857,1069.2142857142858,8131.642857142857,6271.785714285715,11.49942857142857,3.8029999999999995,3.8584285714285698,3.8380000000000014
80.0,49.8,131.369,16,93.5,481.8125,5037.5,6900.25,11.76375,3.893,3.9424375,3.9283124999999997
80.0,60.0,134.297,16,6.0,657.625,5806.4375,6906.5625,11.744625,3.891,3.9316875000000002,3.9219375000000003
80.0,69.8,137.527,18,-94.61111111111111,830.1111111111111,6625.333333333333,6851.166666666667,11.67111111111111,3.868833333333333,3.9040000000000004,3.8982777777777784
80.0,80.0,140.434,19,-172.73684210526315,946.1578947368421,7162.8421052631575,6849.315789473684,11.585631578947371,3.839157894736842,3.883263157894737,3.86321052631579
80.0,89.8,143.56,14,-244.5,1085.642857142857,7722.571428571428,6804.714285714285,11.478571428571428,3.8022142857142858,3.8500714285714293,3.8262857142857136
80.0,100.0,146.552,16,-286.8125,1134.75,7989.0625,6757.8125,11.388312500000001,3.767125,3.823125,3.7980625
89.8,60.0,149.489,15,70.6,608.4,5656.4,7231.666666666667,11.554533333333334,3.8259999999999996,3.8778000000000006,3.850733333333332
89.8,69.8,152.642,16,-29.8125,816.0625,6466.25,7280.6875,11.497625,3.80525,3.856,3.836375
89.8,80.0,155.601,19,-111.15789473684211,952.6315789473684,7022.894736842105,7267.9473684210525,11.419842105263157,3.780789473684211,3.8327894736842096,3.8062631578947363
89.8,89.8,158.56,16,-201.5625,1057.125,7501.875,7171.0,11.3275,3.7476875,3.8004375,3.779375
89.8,100.0,161.751,15,-252.0,1130.6666666666667,7828.8,7166.533333333334,11.242400000000002,3.7148666666666665,3.7716666666666674,3.7558666666666665
100.0,69.8,164.57,17,-7.117647058823529,798.2352941176471,6327.35294117647,7528.705882352941,11.358235294117648,3.758235294117647,3.8114117647058823,3.7885882352941174
100.0,80.0,167.809,19,-85.42105263157895,929.1578947368421,6928.1578947368425,7449.684210526316,11.302894736842108,3.736842105263158,3.79221052631579,3.7738421052631574
